state,state_abbrev,total,population,per_100k,census_region
Ohio,OH,21746,11785935,184.50805981875854,East North Central
Connecticut,CT,6137,3617176,169.66274242668865,New England
North Dakota,ND,1282,783926,163.53584394445394,West North Central
Kentucky,KY,6696,4526154,147.940171721952,East South Central
Maine,ME,2055,1395722,147.23562428621173,New England
Mississippi,MS,4241,2939690,144.26691249757627,East South Central
Vermont,VT,924,647464,142.71063719372813,New England
South Carolina,SC,7648,5373555,142.32663478832916,South Atlantic
Pennsylvania,PA,18076,12961683,139.4571985752159,Middle Atlantic
Wisconsin,WI,7982,5910955,135.0374008937642,East North Central
Iowa,IA,4314,3207004,134.51807356648138,West North Central
North Carolina,NC,14442,10835491,133.28422311457783,South Atlantic
Virginia,VA,11515,8683619,132.60600217489966,South Atlantic
West Virginia,WV,2280,1770071,128.80839243171602,South Atlantic
Oregon,OR,5386,4233358,127.22760513048979,Pacific
Louisiana,LA,5436,4573749,118.85217138063325,West South Central
Rhode Island,RI,1295,1095962,118.16103113064139,New England
Michigan,MI,11672,10037261,116.286704111809,East North Central
Idaho,ID,2256,1964726,114.82517155063861,Mountain
Colorado,CO,6680,5877610,113.65163731516722,Mountain
Minnesota,MN,6300,5737915,109.79597989862171,West North Central
New Hampshire,NH,1526,1402054,108.84031570823947,New England
Massachusetts,MA,7259,7001399,103.67927895553446,New England
Nebraska,NE,1837,1978379,92.85379596123897,West North Central
Illinois,IL,11300,12516863,90.27821108212177,East North Central
Montana,MT,1019,1132812,89.95314315173215,Mountain
Kansas,KS,2590,2940546,88.07888058884303,West North Central
Delaware,DE,889,1031890,86.1525937842212,South Atlantic
Hawaii,HI,1235,1435138,86.05444215120777,Pacific
Indiana,IN,5842,6862199,85.13306011673518,East North Central
South Dakota,SD,766,919318,83.32263699829656,West North Central
Arkansas,AR,2545,3067732,82.96031074422407,West South Central
Florida,FL,18178,23372215,77.77611150676134,South Atlantic
Wyoming,WY,438,584057,74.99268050892293,Mountain
New York,NY,14139,19571216,72.24385035656445,Middle Atlantic
Texas,TX,20732,30503301,67.96641452018586,West South Central
Utah,UT,2314,3417734,67.70567867481788,Mountain
New Jersey,NJ,5782,9290841,62.23333280593221,Middle Atlantic
Georgia,GA,6846,11029227,62.07143982075988,South Atlantic
Oklahoma,OK,2495,4053824,61.546825910547675,West South Central
Maryland,MD,3641,6180253,58.91344577641077,South Atlantic
Nevada,NV,1441,3194176,45.113356308481436,Mountain
Washington,WA,3521,7812880,45.06660796018882,Pacific
Missouri,MO,2679,6196156,43.2364840394593,West North Central
Tennessee,TN,2787,7126489,39.10761666789916,East South Central
California,CA,15192,38965193,38.98864301788522,Pacific
Arizona,AZ,2600,7431344,34.986941796800146,Mountain
New Mexico,NM,684,2114371,32.350046420424796,Mountain
Alabama,AL,1290,5108468,25.252189110316444,East South Central
District of Columbia,DC,139,678972,20.472125507384693,South Atlantic
Alaska,AK,19,733406,2.590652380809538,Pacific
